,label,component
0,2.5吋 SATA3 SSD固態硬碟,"UMAX S330 240GB /2.5吋 讀:520MB寫:450MB/3D NAND Flash【三年保】, $468 ◆ ★ 熱賣"
1,2.5吋 SATA3 SSD固態硬碟,"UMAX S330 480GB /2.5吋 讀:560MB寫:450MB/3D NAND Flash【三年保】, $868 ◆ ★ 熱賣"
2,2.5吋 SATA3 SSD固態硬碟,"UMAX S330 960GB /2.5吋 讀:560MB寫:500MB/3D NAND Flash【三年保】, $1600 ◆ ★ 熱賣"
3,2.5吋 SATA3 SSD固態硬碟,"威剛 Ultimate SU650 240G/2.5吋/讀:520M/寫:450M/TLC顆粒【三年保】, $569 ◆ ★"
4,2.5吋 SATA3 SSD固態硬碟,"威剛 Ultimate SU650 480G/2.5吋/讀:520M/寫:450M/TLC顆粒【三年保】, $899 ◆ ★"
5,2.5吋 SATA3 SSD固態硬碟,"威剛 Ultimate SU800 256G/2.5吋/讀:560M/寫:520M/TLC/DRAM快取/SMI/台灣製【五年】, $999 ◆ ★"
6,2.5吋 SATA3 SSD固態硬碟,"威剛 Ultimate SU800 512G/2.5吋/讀:560M/寫:520M/TLC/DRAM快取/SMI/台灣製【五年】, $1499 ◆ ★"
7,2.5吋 SATA3 SSD固態硬碟,"威剛 Ultimate SU800 1TB/2.5吋/讀:560M/寫:520M/TLC/DRAM快取/SMI/台灣製【五年】, $2650 ◆ ★"
8,2.5吋 SATA3 SSD固態硬碟,"WD Blue SA510 500GB(藍標)/2.5吋/讀:560M/寫:530M/3D TLC顆粒【五年保】, $1300 ◆ ★ 熱賣"
9,2.5吋 SATA3 SSD固態硬碟,"WD Blue SA510 1TB(藍標)/2.5吋/讀:560M/寫:530M/3D TLC顆粒【五年保】, $2100 ◆ ★"
10,2.5吋 SATA3 SSD固態硬碟,"金士頓 A400 240G/2.5吋/讀:500M/寫:350M/TLC顆粒【三年保】, $750↘$700 ◆ ★"
11,2.5吋 SATA3 SSD固態硬碟,"金士頓 A400 480G/2.5吋/讀:500M/寫:450M/TLC顆粒【三年保】, $1050 ◆ ★"
12,2.5吋 SATA3 SSD固態硬碟,"金士頓 A400 960G/2.5吋/讀:500M/寫:450M/TLC顆粒【三年保】, $1780↘$1680 ◆ ★ 熱賣"
13,2.5吋 SATA3 SSD固態硬碟,"金士頓 SKC600 256G/2.5吋/讀:550M/寫:500M/SMI/3D TLC【五年保】, $880↘$800 ◆ ★"
14,2.5吋 SATA3 SSD固態硬碟,"金士頓 SKC600 512G/2.5吋/讀:550M/寫:520M/SMI/3D TLC【五年保】, $1600↘$1500 ◆ ★"
15,2.5吋 SATA3 SSD固態硬碟,"金士頓 SKC600 1024G/2.5吋/讀:550M/寫:520M/SMI/3D TLC【五年保】, $2850↘$2650 ◆ ★"
16,2.5吋 SATA3 SSD固態硬碟,"金士頓 SKC600 2048G/2.5吋/讀:550M/寫:520M/SMI/3D TLC【五年保】, $5300↘$5089 ◆ ★"
17,2.5吋 SATA3 SSD固態硬碟,❤ 【活動】買十銓全系列商品就送皮革卡套包
18,2.5吋 SATA3 SSD固態硬碟,"十銓 T-Force Vulcan Z 火神Z 256G/2.5吋 讀520MB:寫450MB/3D NAND/TLC【三年保】, $559 ◆ ★"
19,2.5吋 SATA3 SSD固態硬碟,"十銓 T-Force Vulcan Z 火神Z 512G/2.5吋 讀540MB:寫470MB/3D NAND/TLC【三年保】, $1099 ◆ ★"
20,2.5吋 SATA3 SSD固態硬碟,"十銓 T-Force Vulcan Z 火神Z 1TB/2.5吋 讀550MB:寫500MB/3D NAND/TLC【三年保】, $1699 ◆ ★ 熱賣"
21,2.5吋 SATA3 SSD固態硬碟,"十銓 T-Force Vulcan Z 火神Z 2TB/2.5吋 讀550MB:寫500MB/3D NAND/TLC【三年保】, $3299 ◆ ★"
22,2.5吋 SATA3 SSD固態硬碟,"十銓 T-Force Vulcan Z 火神Z 4TB/2.5吋 讀550MB:寫500MB/3D NAND/TLC【三年保】, $6499 ◆ ★"
23,2.5吋 SATA3 SSD固態硬碟,"宏�� Acer RE100 256GB /2.5吋 讀562M 寫528M/TLC【五年保】, $690 ◆ ★"
24,2.5吋 SATA3 SSD固態硬碟,"宏�� Acer RE100 512GB /2.5吋 讀562M 寫529M/TLC【五年保】, $999 ◆ ★"
25,2.5吋 SATA3 SSD固態硬碟,"宏�� Acer RE100 1TB /2.5吋 讀557M 寫515M/TLC【五年保】, $1890 ◆ ★"
26,2.5吋 SATA3 SSD固態硬碟,"宏�� Acer RE100 2TB /2.5吋 讀557M 寫515M/TLC【五年保】, $3350 ◆ ★"
27,2.5吋 SATA3 SSD固態硬碟,❤ [官網活動] 買美光全系列登錄享星巴客飲料券 另可參加抽大獎【關島六日雙人遊】活動
28,2.5吋 SATA3 SSD固態硬碟,"美光Micron Crucial BX500 240G/2.5吋/讀:540M/寫:500M/TLC顆粒【三年保】, $650 ◆ ★"
29,2.5吋 SATA3 SSD固態硬碟,"美光Micron Crucial BX500 500G/2.5吋/讀:540M/寫:500M/TLC顆粒【三年保】, $999 ◆ ★"
30,2.5吋 SATA3 SSD固態硬碟,"美光Micron Crucial BX500 1TB/2.5吋/讀:540M/寫:500M/TLC顆粒【三年保】, $1890 ◆ ★"
31,2.5吋 SATA3 SSD固態硬碟,"美光Micron Crucial BX500 2TB/2.5吋/讀:540M/寫:500M/TLC顆粒【三年保】, $3699 ◆ ★"
32,2.5吋 SATA3 SSD固態硬碟,"美光Micron Crucial BX500 4TB/2.5吋/讀:540M/寫:500M/TLC顆粒【三年保】, $7388 ◆ ★"
33,2.5吋 SATA3 SSD固態硬碟,❤ 【活動】買三星2.5吋SSD就送2.5吋轉3.5吋轉接架
34,2.5吋 SATA3 SSD固態硬碟,"三星 Samsung 870 EVO 500G/2.5吋/讀:560/寫:530/TLC/【五年保】星睿奇, $1899 ◆ ★"
35,2.5吋 SATA3 SSD固態硬碟,"三星 Samsung 870 EVO 1TB/2.5吋/讀:560/寫:530/TLC/【五年保】星睿奇, $3499 ◆ ★"
36,2.5吋 SATA3 SSD固態硬碟,"三星 Samsung 870 EVO 2TB/2.5吋/讀:560/寫:530/TLC/【五年保】星睿奇, $6190 ◆ ★"
37,2.5吋 SATA3 SSD固態硬碟,"三星 Samsung 870 EVO 4TB/2.5吋/讀:560/寫:530/TLC/【五年保】星睿奇, $11999 ◆ ★"
38,2.5吋 SATA3 SSD固態硬碟,"三星 Samsung 870 QVO 4TB/2.5吋/讀:560/寫:530/QLC/【三年保】星睿奇, $11499 ◆ ★"
39,2.5吋 SATA3 SSD固態硬碟,"三星 Samsung 870 QVO 8TB/2.5吋/讀:560/寫:530/QLC/【三年保】星睿奇, $22999 ◆ ★"
40,M.2 PCIe 5.0 (Gen5) SSD固態硬碟,❤ 【活動】買T-FORCE GEN5系列就送時尚休閒後背包
41,M.2 PCIe 5.0 (Gen5) SSD固態硬碟,"十銓 T-Force GC PRO(石墨烯)2TB/Gen5/讀:12500M/寫:11000M【五年保】DRAM快取, $6499 ◆ ★"
42,M.2 PCIe 5.0 (Gen5) SSD固態硬碟,"十銓 T-Force GC PRO(石墨烯)4TB/Gen5 讀:12500M/寫:11000M【五年保】DRAM快取, $13990 ◆ ★"
43,M.2 PCIe 5.0 (Gen5) SSD固態硬碟,"十銓 T-ForceZ540黑武士(石墨烯)1TB/Gen5/讀:11700M/寫:9500M【五年保】DRAM快取, $4599 ◆ ★ 熱賣"
44,M.2 PCIe 5.0 (Gen5) SSD固態硬碟,"十銓 T-ForceZ540黑武士(石墨烯)2TB/Gen5/讀:12400M/寫:11800M【五年保】DRAM快取, $6599 ◆ ★ 熱賣"
45,M.2 PCIe 5.0 (Gen5) SSD固態硬碟,"威剛 ADATA LEGEND 970pro 1TB/Gen5/讀:13000M/寫:9500M高效能散熱器【五年】▼下殺到 6/19 10:00, $4380↘$3999 ◆ ★ 熱賣"
46,M.2 PCIe 5.0 (Gen5) SSD固態硬碟,"威剛 ADATA LEGEND 970pro 2TB/Gen5/讀:14000M/寫:10000M高效能散熱【五年】▼下殺到 6/19 10:00, $6659↘$6280 ◆ ★ 熱賣"
47,M.2 PCIe 5.0 (Gen5) SSD固態硬碟,"威剛 XPG MARS 980Blade 1TB/Gen5/讀:14000M/寫:10000M/SMI2508主控台積電6nm製程【五年】, $4380 ◆ ★ 熱賣"
48,M.2 PCIe 5.0 (Gen5) SSD固態硬碟,"威剛 XPG MARS 980Blade 2TB/Gen5/讀:14000M/寫:13000M/SMI2508主控台積電6nm製程【五年】, $6659 ◆ ★ 熱賣"
49,M.2 PCIe 5.0 (Gen5) SSD固態硬碟,"威剛 XPG MARS 980Blade 4TB/Gen5/讀:14000M/寫:13000M/SMI2508主控台積電6nm製程【五年】, $11999 ◆ ★"
50,M.2 PCIe 5.0 (Gen5) SSD固態硬碟,"宏�淲cer Predator GM9000 1TB/Gen5/14000M/10500M/TLC/SMI/TSMC 6nm【五年, $4580 ◆ ★"
51,M.2 PCIe 5.0 (Gen5) SSD固態硬碟,"宏�淲cer Predator GM9000 2TB/Gen5/14000M/13000M/TLC/SMI/TSMC 6nm【五年, $7480 ◆ ★"
52,M.2 PCIe 5.0 (Gen5) SSD固態硬碟,"宏�淲cer Predator GM9000 4TB/Gen5/14000M/13000M/TLC/SMI/TSMC 6nm【五年, $15280 ◆ ★"
53,M.2 PCIe 5.0 (Gen5) SSD固態硬碟,❤ 凡購買金士頓KC3000 /FURY SSD即送多功能充電線收納組
54,M.2 PCIe 5.0 (Gen5) SSD固態硬碟,"金士頓 FURY Renegade Gen5 1TB/讀:14200/寫:11000/TLC【五年保】DRAM快取, $5700↘$5300 ◆ ★ 熱賣"
55,M.2 PCIe 5.0 (Gen5) SSD固態硬碟,"金士頓 FURY Renegade Gen5 2TB/讀:14700/寫:14000/TLC【五年保】DRAM快取, $9300↘$8600 ◆ ★"
56,M.2 PCIe 5.0 (Gen5) SSD固態硬碟,"金士頓 FURY Renegade Gen5 4TB/讀:14800/寫:14000/TLC【五年保】DRAM快取, $17600↘$16500 ◆ ★"
57,M.2 PCIe 5.0 (Gen5) SSD固態硬碟,"美光 Micron Crucial T700 4TB Gen5 PCIe 5.0 讀:12400/寫:11800/TLC【五年保】, $14600 ◆ ★"
58,M.2 PCIe 5.0 (Gen5) SSD固態硬碟,"美光 Micron Crucial T700 1TB含散熱片 Gen5 PCIe 5.0 讀:11700/寫:9500/TLC【五年保】, $4950 ◆ ★"
59,M.2 PCIe 5.0 (Gen5) SSD固態硬碟,"美光 Micron Crucial T700 2TB含散熱片 Gen5 PCIe 5.0 讀:12400/寫:11800/TLC【五年保】, $8299↘$8200 ◆ ★"
60,M.2 PCIe 5.0 (Gen5) SSD固態硬碟,"美光 Micron Crucial T700 4TB含散熱片 Gen5 PCIe 5.0 讀:12400/寫:11800【五年保】, $15299 ◆ ★"
61,M.2 PCIe 5.0 (Gen5) SSD固態硬碟,"美光 Micron Crucial T705 2TB Gen5 PCIe 5.0 讀:14500/寫:12700/TLC【五年保】, $8888↘$7777 ◆ ★"
62,M.2 PCIe 5.0 (Gen5) SSD固態硬碟,"美光 Micron Crucial T705 4TB Gen5 PCIe 5.0 讀:14100/寫:12600/TLC【五年保】, $17888↘$14999 ◆ ★"
63,M.2 PCIe 5.0 (Gen5) SSD固態硬碟,"美光 Micron Crucial T705 1TB含散熱片 Gen5 PCIe 5.0 讀:13000/寫:10200/TLC【五年保】, $5999↘$5299 ◆ ★"
64,M.2 PCIe 5.0 (Gen5) SSD固態硬碟,"美光 Micron Crucial T705 2TB含散熱片 Gen5 PCIe 5.0 讀:14500/寫:12700/TLC【五年保】, $9388↘$8088 ◆ ★"
65,M.2 PCIe 5.0 (Gen5) SSD固態硬碟,"美光 Micron Crucial T705 4TB含散熱片 Gen5 PCIe 5.0 讀:14100/寫:12600【五年保】, $18380↘$15499 ◆ ★ 熱賣"
66,M.2 PCIe 5.0 (Gen5) SSD固態硬碟,"微星 SPATIUM M560 1TB/Gen5/讀:10200M/寫:8400M/TLC顆粒【五年保】, $3990 ◆ ★"
67,M.2 PCIe 5.0 (Gen5) SSD固態硬碟,"微星 SPATIUM M560 2TB/Gen5/讀:10300M/寫:8700M/TLC顆粒~登錄可兌換遊戲序號~, $6590 ◆ ★"
68,M.2 PCIe 5.0 (Gen5) SSD固態硬碟,"微星 SPATIUM M570 PRO FROZR 2TB Gen5讀:12400/寫:11800【五年】DRAM/散熱片, $7490 ◆ ★"
69,M.2 PCIe 5.0 (Gen5) SSD固態硬碟,"微星 SPATIUM M580 FROZR 2TB Gen5 PCIe 5.0 讀:14600/寫:12700【五年】DRAM快取, $9390 ◆ ★"
70,M.2 PCIe 5.0 (Gen5) SSD固態硬碟,"微星 SPATIUM M580 FROZR 4TB Gen5 PCIe 5.0 讀:14100/寫:12600【五年】DRAM快取, $17990↘$17490 ◆ ★"
71,M.2 PCIe 5.0 (Gen5) SSD固態硬碟,"三星 Samsung 9100PRO 2TB/PCIe 5.0 x4/讀:14700/寫:13400/TLC【五年保】, $9559 ◆ ★ 熱賣"
72,M.2 PCIe 5.0 (Gen5) SSD固態硬碟,"三星 Samsung 9100PRO 4TB/PCIe 5.0 x4/讀:14800/寫:13400/TLC【五年保】, $17509 ◆ ★ 熱賣"
73,M.2 PCIe 5.0 (Gen5) SSD固態硬碟,↪ [原廠活動]登錄送Uber/Uber eat通用券$3000
74,M.2 PCIe 5.0 (Gen5) SSD固態硬碟,"三星 Samsung 9100PRO 1TB含散熱片/PCIe 5.0 x4/讀:14700/寫:13300/TLC【五年保】, $6999 ◆ ★"
75,M.2 PCIe 5.0 (Gen5) SSD固態硬碟,↪ [原廠活動]登錄送Uber/Uber eat通用券$1000
76,M.2 PCIe 5.0 (Gen5) SSD固態硬碟,"三星 Samsung 9100PRO 2TB含散熱片/PCIe 5.0 x4/讀:14700/寫:13400/TLC【五年保】, $9789 ◆ ★"
77,M.2 PCIe 5.0 (Gen5) SSD固態硬碟,↪ [原廠活動]登錄送Uber/Uber eat通用券$1500
78,M.2 PCIe 5.0 (Gen5) SSD固態硬碟,"三星 Samsung 9100PRO 4TB含散熱片/PCIe 5.0 x4/讀:14800/寫:13400/TLC【五年保】, $17799 ◆ ★"
79,M.2 PCIe 4.0 (Gen4) SSD固態硬碟,"UMAX M1250 1TB/Gen4 PCIe 4.0/讀:5100M/寫:4500M【五年】TLC/銅箔散熱單面設計, $1899 ◆ ★ 熱賣"
80,M.2 PCIe 4.0 (Gen4) SSD固態硬碟,"UMAX M1350 1TB/Gen4 PCIe 4.0/讀:7400M/寫:6100M【五年】TLC/銅箔散熱單面設計, $2299 ◆ ★"
81,M.2 PCIe 4.0 (Gen4) SSD固態硬碟,"UMAX M1350 2TB/Gen4 PCIe 4.0/讀:7400M/寫:6400M【五年】TLC/銅箔散熱單面設計, $3299 ◆ ★"
82,M.2 PCIe 4.0 (Gen4) SSD固態硬碟,"UMAX M1500 1TB/Gen4 PCIe 4.0/讀:7000M/寫:5500M【五年】DRAM快取/銅箔散/單面, $2480 ◆ ★ 熱賣"
83,M.2 PCIe 4.0 (Gen4) SSD固態硬碟,"UMAX M1500 2TB/Gen4 PCIe 4.0/讀:7000M/寫:6850M【五年】DRAM快取/銅箔散/單面, $3990 ◆ ★ 熱賣"
84,M.2 PCIe 4.0 (Gen4) SSD固態硬碟,"UMAX M1500 4TB/Gen4 PCIe 4.0/讀:7200M/寫:6850M【五年】DRAM快取/銅箔散/單面, $8800 ◆ ★"
85,M.2 PCIe 4.0 (Gen4) SSD固態硬碟,"威剛 ADATA LEGEND 860 500GB/Gen4/讀:5000M/寫:3000M/【五年保】(單面設計), $1299 ◆ ★"
86,M.2 PCIe 4.0 (Gen4) SSD固態硬碟,"威剛 ADATA LEGEND 860 1TB/Gen4/讀:6000M/寫:4000M/【五年保】(單面設計), $1799 ◆ ★ 熱賣"
87,M.2 PCIe 4.0 (Gen4) SSD固態硬碟,"威剛 ADATA LEGEND 860 2TB/Gen4/讀:6000M/寫:5000M/【五年保】(單面設計), $3499 ◆ ★ 熱賣"
88,M.2 PCIe 4.0 (Gen4) SSD固態硬碟,"威剛 ADATA LEGEND 900 512GB/Gen4/讀:6200M/寫:2300M/五年(單面設計)/贈散熱片, $1299 ◆ ★"
89,M.2 PCIe 4.0 (Gen4) SSD固態硬碟,"威剛 ADATA LEGEND 900 1TB/Gen4/讀:7000M/寫:4700M/五年保(單面設計)/贈散熱片, $1999 ◆ ★ 熱賣"
90,M.2 PCIe 4.0 (Gen4) SSD固態硬碟,"威剛 ADATA LEGEND 900 2TB/Gen4/讀:7000M/寫:5400M/五年保(單面設計)/贈散熱片, $3599 ◆ ★"
91,M.2 PCIe 4.0 (Gen4) SSD固態硬碟,"威剛 XPG S50 Core 500G/Gen4/讀:3500M/寫:2200M【三年保】贈散熱片, $1190 ◆ ★ 熱賣"
92,M.2 PCIe 4.0 (Gen4) SSD固態硬碟,"威剛 XPG S50 Core 1TB/Gen4/讀:3500M/寫:2200M【三年保】贈散熱片, $1699 ◆ ★ 熱賣"
93,M.2 PCIe 4.0 (Gen4) SSD固態硬碟,"威剛 XPG S50 Core 2TB/Gen4/讀:3500M/寫:2800M/【三年保】贈散熱片, $3299 ◆ ★ 熱賣"
94,M.2 PCIe 4.0 (Gen4) SSD固態硬碟,"威剛 XPG S60 PRO 512G/Gen4/讀:5000M/寫:2700M/SMI主控【五年保】贈散熱片, $1299 ◆ ★ 熱賣"
95,M.2 PCIe 4.0 (Gen4) SSD固態硬碟,"威剛 XPG S60 PRO 1TB/Gen4/讀:5000M/寫:4500M/SMI主控【五年保】贈散熱片, $2199 ◆ ★ 熱賣"
96,M.2 PCIe 4.0 (Gen4) SSD固態硬碟,"威剛 XPG S60 PRO 2TB/Gen4/讀:5000M/寫:4500M/SMI主控【五年保】贈散熱片, $3999 ◆ ★ 熱賣"
97,M.2 PCIe 4.0 (Gen4) SSD固態硬碟,"威剛 XPG S70 BLADE 512G/Gen4/讀:7200M/寫:2600M/ DRAM快取【五年保】贈散熱片, $1699↘$1690 ◆ ★"
98,M.2 PCIe 4.0 (Gen4) SSD固態硬碟,"威剛 XPG S70 BLADE 1T/Gen4/讀:7400M/寫:5500M/ DRAM快取【五年保】贈散熱片, $2599 ◆ ★"
99,M.2 PCIe 4.0 (Gen4) SSD固態硬碟,"威剛 XPG S70 BLADE 2T/Gen4/讀:7400M/寫:6400M/ DRAM快取【五年保】贈散熱片, $4399 ◆ ★ 熱賣"
100,M.2 PCIe 4.0 (Gen4) SSD固態硬碟,"威剛 XPG S70 PRO 1TB黑/Gen4/讀:7400/寫:6000/SMI主控/DRAM快取/五年/贈散熱片, $2449↘$2400 ◆ ★ 熱賣"
101,M.2 PCIe 4.0 (Gen4) SSD固態硬碟,"威剛 XPG S70 PRO 2TB黑/Gen4/讀:7400/寫:6800/SMI主控/DRAM快取/五年/贈散熱片, $4088 ◆ ★ 熱賣"
102,M.2 PCIe 4.0 (Gen4) SSD固態硬碟,"威剛 XPG S70 PRO 4TB黑/Gen4/讀:7400/寫:6800/SMI主控/DRAM快取/五年/贈散熱片, $8999 ◆ ★ 熱賣"
103,M.2 PCIe 4.0 (Gen4) SSD固態硬碟,"威剛 XPG S70 PRO 2TB白/Gen4/讀:7400/寫:6800/SMI主控/DRAM快取/五年/贈散熱片, $4088 ◆ ★ 熱賣"
104,M.2 PCIe 4.0 (Gen4) SSD固態硬碟,"威剛 XPG S70 PRO 4TB白/Gen4/讀:7400/寫:6800/SMI主控/DRAM快取/五年/贈散熱片, $8999 ◆ ★ 熱賣"
105,M.2 PCIe 4.0 (Gen4) SSD固態硬碟,"宏�� Acer FA200 1TB /Gen4 /讀:7200M/寫:6200M/QLC顆粒【五年保】, $1899 ◆ ★ 熱賣"
106,M.2 PCIe 4.0 (Gen4) SSD固態硬碟,"宏�� Acer FA200 2TB /Gen4 /讀:7200M/寫:6200M/QLC顆粒【五年保】, $3599 ◆ ★ 熱賣"
107,M.2 PCIe 4.0 (Gen4) SSD固態硬碟,"宏�� Acer FA200 4TB /Gen4 /讀:7100M/寫:6100M/QLC顆粒【五年保】, $7299 ◆ ★"
108,M.2 PCIe 4.0 (Gen4) SSD固態硬碟,"宏�� Acer Predator GM7 1TB/Gen4/讀:7200M/寫:6300M/TLC【五年保】(單面設計), $1990 ◆ ★ 熱賣"
109,M.2 PCIe 4.0 (Gen4) SSD固態硬碟,"宏�� Acer Predator GM7 2TB/Gen4/讀:7200M/寫:6300M/TLC【五年保】(單面設計), $3699 ◆ ★ 熱賣"
